week_number,month,province,product_name,category,avg_temperature_level,rainfall_level,tourism_level,payday_week,holiday_type,festival_season,school_season,urbanization_level,avg_income_level,demand_score,estimated_units_sold
36,September,North Western,Wheat Flour,Cooking Essentials,Medium,Low,Low,Yes,Poya,Yes,No,Medium,Medium,268.7,347
43,October,Sabaragamuwa,Tea Leaves,Beverages,Low,Medium,Low,No,Deepavali,Yes,Yes,Low,Low,403.78,594
26,June,Southern,Washing Powder,Household,High,Low,Medium,Yes,None,No,Yes,Medium,Medium,716.33,767
35,August,Sabaragamuwa,Ice Cream,Frozen Foods,Low,Low,Low,No,None,No,Yes,Low,Low,273.85,160
16,April,Northern,Sugar,Sweeteners,High,Medium,Medium,Yes,Poya,Yes,No,Low,Low,380.95,472
30,July,Western,Lion Beer,Alcohol,High,Low,High,Yes,None,No,Yes,High,High,986.77,575
4,January,North Central,Necto,Beverages,Low,Medium,Medium,Yes,Poya,Yes,Yes,Low,Low,533.94,1197
3,January,Sabaragamuwa,Munchee Biscuits,Snacks,Medium,High,Low,No,None,No,Yes,Low,Low,278.36,704
4,January,Western,Rice Flour,Cooking Essentials,Low,High,High,Yes,Poya,Yes,Yes,High,High,1169.55,1176
17,April,Western,Maggi Noodles,Instant Foods,High,Medium,Medium,No,None,No,No,High,High,784.35,2135
21,May,Uva,Lantern Materials,Household,High,Medium,Low,No,None,No,Yes,Low,Low,299.12,289
21,May,Sabaragamuwa,Milo,Dairy,High,Medium,Medium,No,None,No,Yes,Low,Low,305.85,339
10,March,North Western,Red Rice,Staples,High,Medium,Medium,Yes,Eid,Yes,Yes,Medium,Medium,527.16,2377
18,April,Southern,Rice,Staples,High,Medium,High,Yes,Vesak,Yes,Yes,Medium,Medium,514.12,2004
46,November,Northern,MD Crackers,Snacks,Low,Low,Low,Yes,None,No,Yes,Low,Low,681.3,1239
40,October,Eastern,Elephant Ginger Beer,Beverages,Medium,Low,Medium,Yes,Poya,Yes,Yes,Low,Low,623.42,1299
33,August,Southern,Milo,Dairy,High,Low,High,No,None,No,Yes,Medium,Medium,443.66,423
6,February,Western,Candles,Household,Medium,Medium,High,Yes,None,No,Yes,High,High,764.44,682
2,January,Western,Tea Leaves,Beverages,Low,High,High,Yes,None,No,Yes,High,High,1141.98,1919
46,November,Southern,Candles,Household,Low,Medium,High,Yes,None,No,Yes,Medium,Medium,274.68,288
4,January,Sabaragamuwa,Maggi Noodles,Instant Foods,Low,High,Medium,Yes,Poya,Yes,Yes,Low,Low,432.31,1151
14,April,Central,Prima Noodles,Instant Foods,Medium,High,High,Yes,Sinhala_Tamil_New_Year,Yes,No,Medium,Medium,461.73,1123
31,July,Northern,Wheat Flour,Cooking Essentials,High,Low,Low,No,None,No,Yes,Low,Low,377.77,391
11,March,Uva,Lantern Materials,Household,Medium,High,Low,No,Eid,Yes,Yes,Low,Low,185.8,230
42,October,Eastern,MD Crackers,Snacks,Low,High,High,Yes,None,No,Yes,Low,Low,478.38,870
40,October,North Central,Prima Noodles,Instant Foods,Medium,Medium,Low,Yes,Poya,Yes,Yes,Low,Low,403.61,1107
8,February,Uva,Tea Leaves,Beverages,Medium,High,High,Yes,Poya,Yes,Yes,Low,Low,948.17,1466
12,March,Uva,Rice,Staples,Medium,Medium,Low,Yes,Poya,Yes,No,Low,Low,387.98,1323
40,October,Central,Munchee Biscuits,Snacks,Low,Low,High,Yes,Poya,Yes,Yes,Medium,Medium,938.28,2615
50,December,Northern,Maggi Noodles,Instant Foods,Low,Medium,Medium,Yes,None,No,No,Low,Low,355.61,925
21,May,Southern,Red Rice,Staples,High,Medium,Medium,No,None,No,Yes,Medium,Medium,492.09,2453
32,August,Sabaragamuwa,Ritzbury Chocolate,Snacks,Medium,Low,Low,Yes,Poya,Yes,Yes,Low,Low,484.25,1174
1,January,Southern,Kotmale Yoghurt,Dairy,Low,High,High,No,None,No,Yes,Medium,Medium,432.53,484
31,July,North Central,Ritzbury Chocolate,Snacks,High,Low,Medium,No,None,No,Yes,Low,Low,296.79,721
35,August,Central,Milo,Dairy,Medium,Low,High,No,None,No,Yes,Medium,Medium,383.63,285
14,April,Eastern,Sugar,Sweeteners,High,High,Low,Yes,Sinhala_Tamil_New_Year,Yes,No,Low,Low,550.54,698
44,October,Central,Sunflower Oil,Cooking Essentials,Low,High,Low,Yes,Deepavali,Yes,Yes,Medium,Medium,617.51,876
18,April,Central,Jaggery,Sweeteners,High,Medium,High,Yes,Vesak,Yes,Yes,Medium,Medium,392.73,733
24,June,Sabaragamuwa,Arrack,Alcohol,High,Low,Low,Yes,Poya,Yes,Yes,Low,Low,495.53,250
42,October,North Western,Wheat Flour,Cooking Essentials,Low,Low,Medium,Yes,None,No,Yes,Medium,Medium,518.83,722
42,October,Sabaragamuwa,Ice Cream,Frozen Foods,Low,Low,Low,Yes,None,No,Yes,Low,Low,379.13,236
47,November,North Western,Tea Leaves,Beverages,Low,High,Low,No,None,No,Yes,Medium,Medium,349.27,497
1,January,Northern,Jaggery,Sweeteners,Low,Medium,Low,No,None,No,Yes,Low,Low,324.29,493
36,September,Southern,Frozen Fish,Frozen Foods,Medium,Low,High,Yes,Poya,Yes,No,Medium,Medium,697.03,545
22,May,Northern,Candles,Household,High,Low,Low,Yes,None,No,Yes,Low,Low,226.7,257
46,November,Eastern,Frozen Fish,Frozen Foods,Low,Medium,Medium,Yes,None,No,Yes,Low,Low,288.63,152
51,December,Northern,Lion Beer,Alcohol,Low,Medium,Medium,No,Christmas,Yes,No,Low,Low,499.1,316
30,July,Uva,Sunflower Oil,Cooking Essentials,Medium,Low,Low,Yes,None,No,Yes,Low,Low,409.45,636
34,August,Uva,Milo,Dairy,Medium,Low,Medium,Yes,None,No,Yes,Low,Low,326.52,337
8,February,Western,Anchor Milk Powder,Dairy,High,Medium,Medium,Yes,Poya,Yes,Yes,High,High,747.83,541
24,June,North Central,Canned Fish,Canned Goods,High,Low,Low,Yes,Poya,Yes,Yes,Low,Low,313.02,352
38,September,Northern,Munchee Biscuits,Snacks,Medium,Low,Low,Yes,None,No,Yes,Low,Low,540.61,895
37,September,Southern,Kotmale Yoghurt,Dairy,High,Low,High,No,None,No,No,Medium,Medium,441.95,431
