week_number,month,province,product_name,category,avg_temperature_level,rainfall_level,tourism_level,payday_week,holiday_type,festival_season,school_season,urbanization_level,avg_income_level,demand_score,estimated_units_sold
2,January,Central,Washing Powder,Household,Medium,Medium,High,No,None,No,Yes,Medium,Medium,357.58,487
6,February,Sabaragamuwa,Maggi Noodles,Instant Foods,Medium,Medium,Low,No,None,No,Yes,Low,Medium,459.11,390
39,September,Sabaragamuwa,Rice,Staples,Medium,High,Low,Yes,None,No,Yes,Low,Medium,420.54,324
38,September,Uva,Coca-Cola,Beverages,Medium,Medium,Low,No,Poya,Yes,Yes,Low,Low,332.66,281
22,May,North Central,Coca-Cola,Beverages,High,Low,Low,No,None,No,Yes,Low,Low,422.04,347
25,June,Central,Rice Flour,Staples,Low,High,Medium,No,None,No,Yes,Medium,Medium,359.58,455
47,November,Western,Kotmale Yoghurt,Dairy,Medium,Medium,Medium,Yes,Poya,Yes,Yes,High,High,838.85,1512
37,September,North Western,Sunflower Oil,Cooking Essentials,Medium,Medium,Low,No,None,No,Yes,Medium,Medium,523.07,638
6,February,Eastern,Arrack,Alcohol,Medium,High,Medium,No,None,No,Yes,Low,Low,248.31,217
11,March,North Western,Necto,Beverages,High,Low,Low,Yes,None,No,Yes,Medium,Medium,879.42,928
39,September,Central,Canned Fish,Canned Goods,Low,High,Medium,Yes,None,No,Yes,Medium,Medium,610.37,783
15,April,Sabaragamuwa,Ice Cream,Frozen Foods,High,Low,Low,Yes,Sinhala_Tamil_New_Year,Yes,No,Low,Medium,1598.19,1414
26,June,North Western,Coca-Cola,Beverages,High,Medium,Low,No,Poya,Yes,Yes,Medium,Medium,567.94,643
14,April,North Western,Canned Fish,Canned Goods,High,Low,Low,No,None,No,No,Medium,Medium,455.17,503
17,April,Southern,Dhal,Staples,High,Low,Medium,No,Eid,Yes,No,Medium,Medium,689.16,807
38,September,North Central,Anchor Milk Powder,Dairy,Medium,Low,Low,No,Poya,Yes,Yes,Low,Low,311.66,262
6,February,Uva,Sugar,Sweeteners,Medium,Medium,Low,No,None,No,Yes,Low,Low,220.78,199
39,September,North Central,Wheat Flour,Staples,Medium,Low,Low,Yes,None,No,Yes,Low,Low,332.21,283
1,January,Sabaragamuwa,Ice Cream,Frozen Foods,Medium,Medium,Low,No,Christmas,Yes,Yes,Low,Medium,376.25,286
50,December,Eastern,Canned Fish,Canned Goods,Medium,High,Medium,No,None,No,No,Low,Low,402.36,354
47,November,Western,Candles,Seasonal/Ritual,Medium,Medium,Medium,No,Poya,Yes,Yes,High,High,1486.46,2250
41,October,Central,Pepsi,Beverages,Medium,Low,Medium,No,None,No,Yes,Medium,Medium,517.57,619
49,December,North Western,Coconut Oil,Cooking Essentials,Medium,Medium,Low,No,None,No,No,Medium,Medium,485.47,524
39,September,Western,Elephant Ginger Beer,Beverages,Medium,High,Medium,Yes,None,No,Yes,High,High,591.89,1177
16,April,Eastern,Red Rice,Staples,High,Medium,Medium,Yes,Sinhala_Tamil_New_Year,Yes,No,Low,Low,392.82,351
49,December,Central,Ritzbury Chocolate,Snacks,Medium,Medium,Medium,No,None,No,No,Medium,Medium,473.61,607
11,March,Sabaragamuwa,Coca-Cola,Beverages,High,Low,Low,Yes,None,No,Yes,Low,Medium,946.73,761
46,November,Northern,Pepsi,Beverages,Medium,High,Low,No,None,No,Yes,Low,Low,236.98,185
