category,product_rank,product_name,demand_value,price,rating_score,item_url,source,demand_metric,stock_in_hand,item_code,inventory,sku_code
baby diapers,1,Marvel Large Baby Diapers - 96 Pcs,14000.0,6232.0,4.9258262874711765,https://www.daraz.lk/products/marvel-large-baby-diapers-96-pcs-i101978060.html,daraz,sold_count_numeric,,,,
baby diapers,2,Marvel Medium Baby Diapers - 96 Pcs,12100.0,6232.0,4.92379679144385,https://www.daraz.lk/products/marvel-medium-baby-diapers-96-pcs-i101966117.html,daraz,sold_count_numeric,,,,
baby diapers,3,Marvel XL Baby Diapers - 96 Pcs,8500.0,6492.0,4.93404255319149,https://www.daraz.lk/products/marvel-xl-baby-diapers-96-pcs-i101982020.html,daraz,sold_count_numeric,,,,
baby diapers,4,Velona Cuddles Disposable Baby Diapers Large (9kg to 14kg) 32 Pcs,8100.0,3052.0,4.950566426364572,https://www.daraz.lk/products/velona-cuddles-disposable-baby-diapers-large-9kg-to-14kg-32-pcs-i100054492.html,daraz,sold_count_numeric,,,,
baby diapers,5,Pretty Baby | Disposable Baby Diapers | Medium 30 Pcs,8000.0,1679.0,4.9284116331096195,https://www.daraz.lk/products/medium-30-pcs-pretty-baby-disposable-baby-diapers-i224589470.html,daraz,sold_count_numeric,,,,
baby diapers,6,Velona Cuddles Medium Baby Diapers - 34 Pcs (6-10kg),7900.0,3022.0,4.9335232668566,https://www.daraz.lk/products/velona-cuddles-medium-baby-diapers-34-pcs-6-10kg-i100051497.html,daraz,sold_count_numeric,,,,
baby diapers,7,Pretty Baby | Disposable Baby Diapers | Large 30 Pcs,7600.0,1679.0,4.940322580645161,https://www.daraz.lk/products/large-30-pcs-pretty-baby-disposable-baby-diapers-i224587577.html,daraz,sold_count_numeric,,,,
baby diapers,8,Velona Cuddles Disposable Baby Diapers Small (3kg to 8kg) 36 Pcs,6800.0,2648.0,4.925767918088737,https://www.daraz.lk/products/velona-cuddles-disposable-baby-diapers-small-3kg-to-8kg-36-pcs-i100052511.html,daraz,sold_count_numeric,,,,
baby diapers,9,Velona Cuddles Disposable Baby Diapers New Born (Below 5kg) 24 Pcs,6700.0,1692.0,4.951794322442421,https://www.daraz.lk/products/velona-cuddles-disposable-baby-diapers-new-born-below-5kg-24-pcs-i100054467.html,daraz,sold_count_numeric,,,,
baby diapers,10,Velona Cuddles Ezy Pants Disposable Baby Diapers Large (9kg to 14kg) 18Pcs,5000.0,1866.0,4.965201465201465,https://www.daraz.lk/products/velona-cuddles-ezy-pants-disposable-baby-diapers-large-9kg-to-14kg-18pcs-i100055439.html,daraz,sold_count_numeric,,,,
biscuits,1,Munchee Milk Short Cake Biscuits 200G,133200.0,219.0,4.864061456245825,https://www.daraz.lk/products/munchee-milk-short-cake-biscuits-200g-i106348270.html,daraz,sold_count_numeric,,,,
biscuits,2,Munchee Lemon Puff 200g,97400.0,125.0,4.867680362342284,https://www.daraz.lk/products/munchee-lemon-puff-200g-i100538085.html,daraz,sold_count_numeric,,,,
biscuits,3,Munchee Chocolate Puff 200g (1 pack/ 3 pack),72300.0,238.0,4.8498669707335615,https://www.daraz.lk/products/munchee-chocolate-puff-200g-1-pack-3-pack-i100534091.html,daraz,sold_count_numeric,,,,
biscuits,4,Munchee Chocolate Cream Biscuits 100g,68400.0,99.0,4.886683738796415,https://www.daraz.lk/products/munchee-chocolate-cream-biscuits-100g-i106350138.html,daraz,sold_count_numeric,,,,
biscuits,5,Munchee Onion Biscuit 30G,61700.0,47.0,4.812581913499344,https://www.daraz.lk/products/munchee-onion-biscuit-30g-i119068702.html,daraz,sold_count_numeric,,,,
biscuits,6,Munchee Tikiri Marie 80g,58500.0,84.0,4.942995169082126,https://www.daraz.lk/products/munchee-tikiri-marie-80g-i261263296.html,daraz,sold_count_numeric,,,,
biscuits,7,Maliban Chocolate Cream 100g,39000.0,91.0,4.925638179800222,https://www.daraz.lk/products/maliban-chocolate-cream-100g-i104252339.html,daraz,sold_count_numeric,,,,
biscuits,8,Munchee Hawaian Cookies 200G,37000.0,182.0,4.879170056956876,https://www.daraz.lk/products/munchee-hawaian-cookies-200g-i100533078.html,daraz,sold_count_numeric,,,,
biscuits,9,Maliban Gold Marie 80g,28200.0,63.0,4.935672514619883,https://www.daraz.lk/products/maliban-gold-marie-80g-i104251532.html,daraz,sold_count_numeric,,,,
biscuits,10,Munchee Cream Cracker 490G,20500.0,446.0,4.740509620384816,https://www.daraz.lk/products/munchee-cream-cracker-490g-i119066953.html,daraz,sold_count_numeric,,,,
coconut oil,1,Extra Virgin Coconut Oil 5 Liter Can - Cold Pressed White Kernel - Cook Fry Bake Keto Hair Skin Beauty Multi Purpose Usage,1000.0,11680.0,4.88421052631579,https://www.daraz.lk/products/extra-virgin-coconut-oil-5-liter-can-cold-pressed-white-kernel-cook-fry-bake-keto-hair-skin-beauty-multi-purpose-usage-i161443833.html,daraz,sold_count_numeric,,,,
coconut oil,2,Gravity Extra Virgin Coconut Oil 200 ml (නෑඹුල් පොල්තෙල්) - Plastic Bottle,901.0,688.0,4.929203539823009,https://www.daraz.lk/products/gravity-extra-virgin-coconut-oil-200-ml-plastic-bottle-i100862791.html,daraz,sold_count_numeric,,,,
coconut oil,3,Renuka Coconut Oil 1000Ml,881.0,1577.0,4.759615384615385,https://www.daraz.lk/products/renuka-coconut-oil-1000ml-i134722424.html,daraz,sold_count_numeric,,,,
coconut oil,4,Fortune Coconut Oil 2.9l,749.0,4275.0,4.922480620155039,https://www.daraz.lk/products/fortune-coconut-oil-29l-i169748728.html,daraz,sold_count_numeric,,,,
coconut oil,5,Pure Coconut Oil 5 Liter Can - Cook & Fry පිරිසිදු පොල්තෙල් ලීටර් 5 කෑන් - පිසීමට සහ බැදීමට,745.0,6720.0,4.927631578947368,https://www.daraz.lk/products/pure-coconut-oil-5-liter-can-cook-fry-5-i161445592.html,daraz,sold_count_numeric,,,,
coconut oil,6,Gravity Extra Virgin Coconut Oil 375 ml (නෑඹුල් පොල්තෙල්) GB,730.0,1104.0,4.94811320754717,https://www.daraz.lk/products/gravity-extra-virgin-coconut-oil-375-ml-pb-i100810025.html,daraz,sold_count_numeric,,,,
coconut oil,7,Gravity Pure Coconut Oil for Deep Frying & Cooking 1L Plastic Bottle පිරිසිදු පොල්තෙල් 1000ml - Made in Sri Lanka with Sri Lankan Coconuts,706.0,1363.0,4.890710382513661,https://www.daraz.lk/products/gravity-pure-coconut-oil-for-deep-frying-cooking-1l-plastic-bottle-1000ml-made-in-sri-lanka-with-sri-lankan-coconuts-i100874683.html,daraz,sold_count_numeric,,,,
coconut oil,8,Extra Virgin Coconut Oil 2 Liter Can - Cold Pressed White Kernel - Cook Fry Bake Keto Hair Skin Beauty Multi Purpose Usage,704.0,4960.0,4.963235294117647,https://www.daraz.lk/products/extra-virgin-coconut-oil-2-liter-can-cold-pressed-white-kernel-cook-fry-bake-keto-hair-skin-beauty-multi-purpose-usage-i161440875.html,daraz,sold_count_numeric,,,,
coconut oil,9,"Virgin Coconut Oil 750ml glass bottle- No Coconut Smell or Taste - Cook, Fry, Pasta, Salad Dressing, Bake Cake, Skincare & Haircare",553.0,2826.0,4.951612903225806,https://www.daraz.lk/products/virgin-coconut-oil-750ml-glass-bottle-no-coconut-smell-or-taste-cook-fry-pasta-salad-dressing-bake-cake-skincare-haircare-i100856912.html,daraz,sold_count_numeric,,,,
coconut oil,10,Pure Coconut Oil 2 Liter Can - Cook & Fry පිරිසිදු පොල්තෙල් ලීටර් 2 කෑන් - පිසීමට සහ බැදීමට,536.0,2880.0,4.909090909090909,https://www.daraz.lk/products/pure-coconut-oil-2-liter-can-cook-fry-2-i161451040.html,daraz,sold_count_numeric,,,,
coffee,1,Wijaya Coffee (100g),3000.0,340.0,4.938679245283019,https://www.daraz.lk/products/wijaya-coffee-100g-i100014146.html,daraz,sold_count_numeric,,,,
coffee,2,Lavazza – Crema E Gusto 250g Coffee Pack Made in Italy,1000.0,3399.0,4.55,https://www.daraz.lk/products/lavazza-crema-e-gusto-250g-coffee-pack-i173377977.html,daraz,sold_count_numeric,,,,
